course_id,course_title,course_url,course_instructor,course_rating,course_duration,course_details,course_level,course_no_of_reviews,course_no_of_enrolled
ud_4427730,React Front To Back,https://www.udemy.com/course/react-front-to-back-2022/,Brad Traversy,4.596333,20.0,,1,5965,30340
ud_1078522,React JS Web Development - The Essentials Bootcamp,https://www.udemy.com/course/react-js-and-redux-mastering-web-apps/,David Joseph Katz,4.5595665,27.5,,0,5841,71402
ud_886614,Accelerated ES6 JavaScript Training,https://www.udemy.com/course/es6-bootcamp-next-generation-javascript/,Maximilian Schwarzmüller,4.7116966,6.0,,2,5774,33307
ud_1471444,The Complete React Js & Redux Course - Build Modern Web Apps,https://www.udemy.com/course/the-complete-react-js-redux-course-build-modern-web-apps/,Codestars • over 2 million students worldwide!,4.444727,8.5,,0,5765,25003
ud_860812,JavaScript Beginner Bootcamp (2023),https://www.udemy.com/course/javascript-the-basics-for-beginners/,Rob Merrill,4.5760026,38.5,,1,5740,25942
ud_1952540,Python Django Dev To Deployment,https://www.udemy.com/course/python-django-dev-to-deployment/,Brad Traversy,4.3206205,11.0,,2,5723,24735
ud_2410956,HTML & CSS - Certification Course for Beginners,https://www.udemy.com/course/html-css-certification-course-for-beginners/,YouAccel Training,4.302753,4.0,,1,5661,220884
ud_1562632,Django 2.2 & Python | The Ultimate Web Development Bootcamp,https://www.udemy.com/course/the-ultimate-beginners-guide-to-django-django-2-python-web-dev-website/,Nick Walter,4.540686,10.0,,1,5654,23582
ud_4188320,Git & GitHub - The Practical Guide,https://www.udemy.com/course/git-github-practical-guide/,Academind by Maximilian Schwarzmüller,4.699841,10.5,,0,5649,35648
ud_3033110,HTML5 - From Basics to Advanced level [2024],https://www.udemy.com/course/html-basic-to-advanced/,EdYoda Digital University,4.342968,3.5,,1,5642,243657
ud_5024834,ChatGPT Complete Course - Prompt Engineering for ChatGPT,https://www.udemy.com/course/chat-gpt/,Mike Wheeler,4.467001,5.5,,1,5536,20728
ud_267560,Create an eCommerce Website Using Laravel (PHP & MySQL),https://www.udemy.com/course/online-store-e-commerce-website-in-php-mysql-from-scratch/,Abdul Wali,4.626716,8.5,,0,5446,123990
ud_2410966,"HTML, JavaScript, & Bootstrap - Certification Course",https://www.udemy.com/course/html-javascript-bootstrap-certification-course/,YouAccel Training,4.255821,6.5,,1,5366,313380
ud_64422,1 Hour HTML,https://www.udemy.com/course/1-hour-html/,John Bura,4.498339,1.0,,1,5354,67474
ud_2488654,The Complete 2023 PHP Full Stack Web Developer Bootcamp,https://www.udemy.com/course/the-complete-php-full-stack-web-developer-bootcamp/,Srini Vanamala,4.280746,49.0,,1,5280,136412
ud_1039062,Webpack 2: The Complete Developer's Guide,https://www.udemy.com/course/webpack-2-the-complete-developers-guide/,Stephen Grider,4.4692516,5.5,,0,5274,25733
ud_1123098,"Reactive Angular Course (with RxJs, Angular 17)",https://www.udemy.com/course/rxjs-reactive-angular-course/,Angular University,4.4400187,5.5,,0,5266,25763
ud_1726420,RxJs In Practice (with FREE E-Book),https://www.udemy.com/course/rxjs-course/,Angular University,4.6310167,4.5,,0,5258,22009
ud_1360998,Mastering data visualization in D3.js,https://www.udemy.com/course/masteringd3js/,Adam Janes,4.2511954,6.5,,2,5168,25324
ud_1436332,Learn JavaScript: Full-Stack from Scratch,https://www.udemy.com/course/learn-javascript-full-stack-from-scratch/,Brad Schiff,4.72883,28.0,,0,5082,20206
ud_2609434,Node.js API Masterclass With Express & MongoDB,https://www.udemy.com/course/nodejs-api-masterclass/,Brad Traversy,4.709235,12.0,,2,5001,26505
ud_1568344,Java Design Patterns & SOLID Design Principles,https://www.udemy.com/course/design-patterns-in-java-concepts-hands-on-projects/,Coffee Powered Crew,4.507145,17.0,,2,4917,41553
ud_1399390,Object Oriented PHP & MVC,https://www.udemy.com/course/object-oriented-php-mvc/,Brad Traversy,4.6925592,6.5,,2,4917,18624
ud_2022242,Learn Visual Studio Code (2020),https://www.udemy.com/course/learn-visual-studio-code/,James Quick,4.550955,4.0,,2,4911,19327
ud_1776342,Webpack 5 in 2023: The Complete Guide For Beginners,https://www.udemy.com/course/webpack-from-beginner-to-advanced/,Viktor Pyskunov,4.417382,5.0,,0,4884,24790
ud_1478856,HTML&CSS Tutorial and Projects Course  (Flexbox&Grid),https://www.udemy.com/course/in-depth-html-css-course-build-responsive-websites/,John Smilga,4.848937,40.0,,0,4873,20487
ud_3134552,".NET 8 Microservices: DDD, CQRS, Vertical/Clean Architecture",https://www.udemy.com/course/microservices-architecture-and-implementation-on-dotnet/,Mehmet Ozkaya,4.3768897,45.5,,1,4858,27460
ud_1565240,Build Reactive MicroServices using Spring WebFlux/SpringBoot,https://www.udemy.com/course/build-reactive-restful-apis-using-spring-boot-webflux/,Pragmatic Code School,4.49893,8.5,,0,4847,31973
ud_2337794,Learn HTML - For Beginners,https://www.udemy.com/course/learn-html-for-beginners/,YouAccel Training,4.464137,2.5,,1,4847,205720
ud_1460764,Deep Learning and NLP: Seq2Seq Model Theory + ChatGPT Prizes,https://www.udemy.com/course/chatbot/,Hadelin de Ponteves,3.889966,2.5,,0,4815,33135
ud_2308032,Angular Testing Masterclass (Angular 17),https://www.udemy.com/course/angular-testing-course/,Angular University,4.430233,5.0,,0,4807,24011
ud_1144726,Build a Real-world App with ASP.NET Core and Angular 2 (4+),https://www.udemy.com/course/aspnet-core-angular/,Mosh Hamedani,4.4735227,10.5,,2,4746,29603
ud_3616978,"Complete NodeJS Developer (GraphQL, MongoDB, + more)",https://www.udemy.com/course/complete-nodejs-developer-zero-to-mastery/,Andrei Neagoie,4.606526,46.5,,0,4691,27686
ud_2357210,The Ultimate Hands-On Lightning Web Component,https://www.udemy.com/course/lightning-web-component-development/,Manish Choudhari,4.6679335,17.0,,0,4653,23320
ud_3749464,React and Typescript: Build a Portfolio Project,https://www.udemy.com/course/react-and-typescript-build-a-portfolio-project/,Stephen Grider,4.6316743,29.5,,0,4597,40297
ud_1309852,Spring & Spring Boot Interview Guide,https://www.udemy.com/course/spring-interview-questions-and-answers/,in28Minutes Official,4.5413704,6.0,,0,4590,34490
ud_128946,Learn Responsive Web Development from Scratch,https://www.udemy.com/course/learn-responsive-web-development-from-scratch/,Eduonix Learning Solutions,4.126709,4.5,,0,4567,107578
ud_3579383,Building Modern Web Applications with Go (Golang),https://www.udemy.com/course/building-modern-web-applications-with-go/,Trevor Sawler,4.5244493,29.5,,0,4557,31235
ud_2701028,Django 3 - Full Stack Websites with Python Web Development,https://www.udemy.com/course/django-3-make-websites-with-python-tutorial-beginner-learn-bootstrap/,Nick Walter,4.6150203,8.5,,1,4457,18358
ud_1657930,GraphQL by Example,https://www.udemy.com/course/graphql-by-example/,Mirko Nasato,4.6936827,8.0,,0,4325,27216
ud_1415652,Practical Web Development: 22 Courses in 1,https://www.udemy.com/course/the-complete-web-development-course/,Creative Online School,4.3980317,11.5,,0,4265,306450
ud_1518026,Javascript Tutorial and Projects Course,https://www.udemy.com/course/javascript-tutorial-for-beginners-w/,John Smilga,4.761618,46.5,,0,4260,26098
ud_2390114,PHP & MySQL - Certification Course for Beginners,https://www.udemy.com/course/php-mysql-certification-course-for-beginners/,YouAccel Training,4.215723,3.5,,1,4242,281008
ud_2685124,The Modern Angular Bootcamp,https://www.udemy.com/course/the-modern-angular-bootcamp/,Stephen Grider,4.605829,45.5,,0,4223,26102
ud_2493580,Creating Accessible Websites,https://www.udemy.com/course/creating-accessible-websites/,Stefany Newman,4.1811423,3.5,,1,4190,13163
ud_2337802,Learn JavaScript - For Beginners,https://www.udemy.com/course/learn-javascript-for-beginners-v/,YouAccel Training,4.148018,1.5,,1,4162,255168
ud_746014,The Complete Sass & SCSS Course: From Beginner to Advanced,https://www.udemy.com/course/sasscourse/,Joe Parys,4.5265107,4.0,,0,4147,26750
ud_2272508,The Complete Full-Stack JavaScript Course,https://www.udemy.com/course/full-stack-javascript/,Joseph Delgadillo,4.149974,24.5,,0,4138,304763
ud_1642074,Object-oriented Programming in JavaScript,https://www.udemy.com/course/javascript-object-oriented-programming/,Mosh Hamedani,4.691583,4.0,,2,4088,20878
ud_4421508,Build ASP.NET Core Web API - Scratch To Finish (.NET8 API),https://www.udemy.com/course/build-rest-apis-with-aspnet-core-web-api-entity-framework/,Sameer Saini,4.550786,18.0,,0,4079,19837
ud_473548,PHP OOP: Object Oriented Programming for beginners + Project,https://www.udemy.com/course/oop-php-object-oriented-programing-with-project-1-course/,Edwin Diaz,4.26091,19.0,,0,4005,25382
ud_674608,The Complete Web Developer Masterclass: Beginner To Advanced,https://www.udemy.com/course/webdevelopercourse/,Joe Parys,3.3067796,51.0,,0,3913,72822
