,course_title,course_id,course_url,course_instructor,course_rating,course_no_of_reviews,course_duration,course_level,course_no_of_enrolled,course_details
63,Developing Android Apps with App Inventor,ce_101103,https://www.coursera.org/learn/app-inventor-android,Kenneth W T Leung,4.4,474.0,37.0,1,59137,Introduction of MIT App Inventor Application Coding Programming Basics & Dialog More Programming Basics Alarm Clock Application Audio & Video Drawing Application File Game Device Location Web Browsing
64,Data Structures & Backend with Java,ce_101104,https://www.coursera.org/learn/data-structures--backend-with-java,Board Infinity,4.3,33.0,19.0,3,5731,"Acquire proficiency in Java's data structures. Learn to manipulate data using arrays, String class, and Collections Framework.  Understand StringBuilder/StringBuffer classes. Use Collections interfaces like ArrayList, LinkedList, HashMap for data management.  Learn Spring & Spring Boot, develop Spring applications with dependency, create web apps using Spring MVC, and understand Spring Boot architecture.  Master secure RESTful web service creation with Spring Boot. Execute CRUD operations and use Spring Security for web service protection.  Spring Data Structure hibernate springboot Java Programming Data Structures in Java Spring and Spring Boot Introduction RESTFul web services and Spring Boot Security"
65,Data Processing Using Python,ce_101105,https://www.coursera.org/learn/python-data-processing,ZHANG Li,4.1,343.0,29.0,1,103279,Python Programming Numpy Pandas Wxpython Welcome to learn Data Processing Using Python! Basics of Python Data Acquisition and Presentation Powerful Data Structures and Python Extension Libraries Python Data Statistics and Mining Object Orientation and Graphical User Interface
66,Building Cloud Services with the Java Spring Framework,ce_101106,https://www.coursera.org/learn/cloud-services-java-spring-framework,Dr. Jules White,4.3,244.0,13.0,2,28718,Understand the details of the Hypertext Transfer Protocol Be able to develop cloud services using the Java Spring Framework Understand basic issues in scaling cloud services Be able to use the Java Persistence API to integrate databases into cloud services Servlets Hypertext Transfer Protocol (HTTP) Java Spring Framework Web Application Cloud Services Week One Week Two Week Three Week Four
67,Back-End Developer Capstone ,ce_101107,https://www.coursera.org/learn/back-end-developer-capstone,Taught by Meta Staff,4.6,101.0,20.0,2,16556,Create a Django web server with multiple API endpoints  Connect Django to a MySQL database  Django (Web Framework) API endpoints MySQL Starting the Project Project Functionality Security and Testing Project Assessment
68,Developing Applications in Python on AWS,ce_101108,https://www.coursera.org/learn/developing-applications-in-python-on-aws,Morgan Willis,4.8,23.0,9.0,1,2629,Introductory level Python programming and Python packages Explain the different roles in an organization building software Software Architecture Python Programming Web Development Cloud API Automation Module 1: Welcome to the Course Module 2: Architecture Comparison Module 3: Database Module 4: Messaging Services
69,Capstone: Following the AWS Well Architected Framework,ce_101109,https://www.coursera.org/learn/aws-well-architected-framework,Morgan Willis,,,11.0,1,0,security Performance Efficiency Operational Excellence Cost Optimization Reliability The AWS Well-Architected Framework The Well-Architected Framework Continued Preparing to be an AWS Cloud Consultant
70,Fundamentals Of Microfrontends,ce_101110,https://www.coursera.org/learn/fundamentals-of-microfrontends,Board Infinity,,,3.0,2,0,"Acquire a deep understanding of MicroFrontends, their advantages, and when to implement them Learn to set up, integrate, and communicate between MicroFrontends, enhancing the modularity and scalability of your web applications.  Master best practices, design guidelines, and security considerations in MicroFrontend development. Microfrontend Web Design web application development Communication Between MicroFrontends Integration Strategies Introduction to MicroFrontends Implementation Strategies and Best Practices"
71,Learn CSS Flexbox,ce_101111,https://www.coursera.org/learn/learn-flexbox,Per Harald Borgen,4.9,10.0,0.0,2,0,Using flexbox to create responsive and dynamic layouts  How to create an image grid using flexbox Computer Programming HTML and CSS Web Design Learn Flexbox
72,Frontend for Java Full Stack Development,ce_101112,https://www.coursera.org/learn/frontend-development-for-java-full-stack,Board Infinity,4.5,24.0,24.0,2,4016," Understand the fundamentals of HTML & CSS, including HTML tags and the structure of web pages.   Acquire the skills to apply CSS styling to HTML elements, using various properties to control appearance, layout, and selectively applying styles.  Become proficient in JavaScript programming, understand variables, data types, control structures, and functions, and apply best coding practices.   Get hands-on experience with Angular and  learn components, modules, directives, and services to create scalable web applications. HTML Web Development JavaScript Angularjs Cascading Style Sheets (CSS) Introduction to HTML & CSS Introduction to JavaScript Programming Angular for Frontend development"
73,New Learning: Principles and Patterns of Pedagogy ,ce_101113,https://www.coursera.org/learn/newlearning,Dr William Cope,4.7,289.0,15.0,1,21043,Module 1: Course Orientation Module 2: What is New Learning? Module 3: Didactic and Authentic education Module 4: Transformative Education - New Learning
74,Learn CSS Grid,ce_101114,https://www.coursera.org/learn/learn-css-grid,Per Harald Borgen,,,0.0,2,0,How to build use GSS Grid to build responsive layouts The basics of CSS Grid When to use CSS Grid and when to use Flexbox HTML and CSS Cascading Style Sheets (CSS) Learn CSS Grid
75,Satisfaction Guaranteed: Develop Customer Loyalty Online,ce_101115,https://www.coursera.org/learn/satisfaction-guaranteed,Google Career Certificates,4.8,2600.0,27.0,1,86992,"Identify common strategies for building customer loyalty in e-commerce Successfully manage client relationships and measure satisfaction Find, apply for, and prepare for interviews and jobs Put together a portfolio and/or resume to present to employers Customer Relationship Management (CRM) Portfolio preparation Building customer loyalty E-commerce store optimization Job preparedness Introduction to satisfaction guaranteed: develop customer loyalty online Analyze trends for an online store Prepare for jobs in digital marketing and e-commerce Certificate review"
76,Introduction to Google SEO,ce_101116,https://www.coursera.org/learn/search-engine-optimization,Rebekah May,4.6,9900.0,13.0,1,294026,"Critique the role of advertisements and corporate funding in the development of search   Compare and contrast the functionality of search engine algorithms updates   Write your own content for a website that will improve search results   Develop an optimization strategy following best practices for a client to implement to help increase their ranking   Search Algorithm Search Engine Optimization (SEO) Mathematical Optimization Semantics Introduction to Google SEO Current SEO Best Practices SEO of Today, Tomorrow and Beyond Your Audience and Building Personas"
77,Social Media Data Analytics,ce_101117,https://www.coursera.org/learn/social-media-data-analytics,Chirag Shah,4.1,288.0,13.0,2,42931,"Python Programming Statistical Analysis Sentiment Analysis R Programming Introduction to Data Analytics Collecting and Extracting Social Media Data Data Analysis, Visualization, and Exploration Case Studies"
78,Analysis of Algorithms,ce_101118,https://www.coursera.org/learn/analysis-of-algorithms,Robert Sedgewick,4.4,727.0,20.0,3,90978,Analysis of Algorithms Recurrences Generating Functions Asymptotics  Analytic Combinatorics Trees Permutations Strings and Tries Words and Mappings
79,Go for Python Developers,ce_101119,https://www.coursera.org/learn/codio-go-golang-for-python-developers,Elise Deitrick,,,12.0,1,0,"Learners will be able to construct and run basic Go programs with error handling and utilizing standard libraries. Learners will be able to implement more advance programming techniques including handling pointers, OOP, and parallel programming. Learners will be able to build full Go modules such as a web service demonstrating dependency management, logging, and profiling. Software Engineering Go (Programming Language) Python Programming Introduction to Go OOP and Parallel Programming Modules, Web Services, Profiling, and Debugging"
80,Prompt Engineering for Web Developers,ce_101120,https://www.coursera.org/learn/prompt-engineering-for-web-developers,Per Harald Borgen,3.7,6.0,3.0,0,0,Prompt Engineering AI Assisted Coding Using AI Language Models for Job Search
81,Design Thinking for the Greater Good: Innovation in the Social Sector,ce_101121,https://www.coursera.org/learn/uva-darden-design-thinking-social-sector,Jeanne M. Liedtka,4.7,398.0,8.0,1,42897,"What design thinking is and when to use it How to prepare to see and take action when opportunity arises  How to use design thinking to generate innovative ideas How to take the many ideas you generate and determine which ones are likely to produce specific, desired outcomes Problem Solving User-Centered Design Prototyping Social Issues Design Thinking DESIGN THINKING FUNDAMENTALS BEFORE YOU BEGIN, AND ASKING ""WHAT IS?"" A MINDSET FOR INNOVATION, AND ASKING ""WHAT IF?"" ASKING ""WHAT WOWS?"" AND ""WHAT WORKS?"""
82,Marketing Analytics,ce_101122,https://www.coursera.org/learn/uva-darden-market-analytics,Rajkumar Venkatesan,4.7,6300.0,16.0,1,330283,"How to build and define a brand architecture and how to measure the impact of marketing efforts on brand value over time How to measure customer lifetime value  and use that information to evaluate strategic marketing alternatives  How to design basic experiments so that you can assess your marketing efforts and invest your marketing dollars most effectively How to set up regressions, interpret outputs, explore confounding effects and biases, and distinguish between economic and statistical significance Marketing Experiments Brand Equity Customer Lifetime Value Marketing Analytics Regression Analysis Leveraging User Generated Content Metrics for Measuring Brand Assets Customer Lifetime Value Marketing Experiments Regression Basics"
